"","gene","logFC","p"
"2596","Rv0149",-0.261478501017245,0.019234283075452
"2069","Rv0151c",0.536482685729964,0.00249122064604698
"2497","Rv0152c",-0.5258845079222,0.013234784243764
"2026","Rv0153c",0.439128414621248,0.00211330212347767
"1581","Rv0154c",0.522400409375424,0.000320441775710018
"263","Rv0155",-1.69822475552153,3.27642684698516e-07
"1219","Rv0156",-1.44768529365023,6.04501034224809e-05
"106","Rv0157",-1.67466659243936,2.44346244803494e-08
"414","Rv0157A",2.39393475769024,8.80091937168834e-07
"2782","Rv0161",0.31868590980654,0.0448181739467494
"1262","Rv0162c",0.730699658671742,7.29004220452606e-05
"1207","Rv0163",0.981530992557443,5.7942211562117e-05
"2202","Rv0165c",0.669416258252348,0.00402667503115323
"472","Rv0166",1.42896332843828,1.24710195904772e-06
"129","Rv0167",1.68128012844211,4.37944880300639e-08
"1551","Rv0168",0.663550648731019,0.000279427650843668
"919","Rv0169",0.67660322427133,1.66487913246566e-05
"605","Rv0170",0.691486580110654,3.17272482328571e-06
"236","Rv0171",0.99672181025352,2.55139136410937e-07
"303","Rv0172",1.01629949806434,4.58666954738564e-07
"190","Rv0173",1.24990916816875,1.53556385875969e-07
"207","Rv0174",0.992815893791384,1.74995303223381e-07
"690","Rv0175",0.751878564670491,4.99836796611537e-06
"1431","Rv0176",-0.708432927150469,0.000150830443414568
"912","Rv0177",-0.63547149647365,1.62816819066735e-05
"2209","Rv0178",-0.296043070908576,0.00410627165175963
"311","Rv0179c",-1.07570284238592,4.90279621317287e-07
"1010","Rv0181c",-0.836689757961384,2.3659648725091e-05
"1151","Rv0182c",-0.580868247558028,4.46766418138142e-05
"862","Rv0183",-0.747521129617953,1.33131251254044e-05
"1205","Rv0184",-0.724418437071463,5.71283335724818e-05
"952","Rv0185",-0.753505057075815,1.84691705334262e-05
"384","Rv0186",-1.1758080801359,7.56275626476781e-07
"5","Rv0186A",4.77744268866285,2.40243463165847e-10
"153","Rv0188",1.57265763682215,7.0854882454165e-08
"102","Rv0190",1.9717280732772,2.03343119276055e-08
"2017","Rv0191",0.339798551923615,0.00201210003504369
"1204","Rv0193c",0.818796885720602,5.70861418073574e-05
"535","Rv0195",-3.44575786279959,2.15315441723257e-06
"338","Rv0196",-2.62518832505513,5.74638681066041e-07
