"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv0570",4.37496887147775,8.08313444298178,67.7480756526398,5.66935969175511e-14,1.11263873671092e-10,22.6470453871797,"Rv0570",52
"Rv0569",5.61231287038328,8.04011340068233,67.5217456842036,5.85034930154474e-14,1.11263873671092e-10,22.5284914808573,"Rv0569",52
"Rv1997",5.77267912472345,6.90532371509891,64.4686444211634,9.03388587972698e-14,1.11263873671092e-10,21.8536823599005,"Rv1997",52
"Rv3614c",3.99202034945458,9.06975494293858,62.8547582416071,1.14616403472668e-13,1.11263873671092e-10,22.0784859637793,"Rv3614c",52
"Rv0186A",4.77744268866285,9.0833405440818,55.7408075961291,3.53865413448129e-13,2.40243463165847e-10,21.0095965236468,"Rv0186A",52
"Rv3160c",4.73417902783788,7.09054840001884,55.4570338677377,3.71223481585136e-13,2.40243463165847e-10,20.8446489691865,"Rv3160c",52
"Rv1736c",5.56698275457892,7.19807762435038,53.9104433603875,4.84034270030406e-13,2.68168500745269e-10,20.5460467147841,"Rv1736c",52
"Rv3615c",4.1942325557081,8.83176427038413,53.1554724934121,5.52497554973512e-13,2.68168500745269e-10,20.5866405078134,"Rv3615c",52
"Rv2005c",4.9141427257172,7.80884653441537,51.3725337129608,7.6085038301947e-13,3.28264670807178e-10,20.2389608687411,"Rv2005c",52
"Rv3093c",-5.0079816165513,7.14353295824101,-50.5996271509153,8.7707733173677e-13,3.40569127913388e-10,19.9396376495437,"Rv3093c",52
"Rv3230c",3.12548851339569,8.63221146153285,48.761107122275,1.24091936357828e-12,4.27312875019836e-10,19.8015941057439,"Rv3230c",52
"Rv2629",3.33373656738803,9.07811735022529,48.1463036158847,1.39765919044317e-12,4.27312875019836e-10,19.6843577625625,"Rv2629",52
"Rv3229c",3.70107001378502,9.36266346582554,48.0267573796693,1.43061225219106e-12,4.27312875019836e-10,19.6610585426855,"Rv3229c",52
"Rv1737c",5.56413273970783,8.32654861203142,46.6155735008431,1.89198486647831e-12,5.24755516895376e-10,19.3678456267669,"Rv1737c",52
"Rv3161c",5.82910484280401,8.60281752515134,46.2192977133145,2.04957147464255e-12,5.30565735735801e-10,19.2925023400534,"Rv3161c",52
"Rv2627c",6.87687558803377,8.54757828802997,43.2546385522312,3.81400652004439e-12,8.76089365526299e-10,18.6699849938736,"Rv2627c",52
"Rv0046c",2.9265045153028,9.07082772848942,43.1376121672183,3.91201637561588e-12,8.76089365526299e-10,18.6499676052035,"Rv0046c",52
"Rv0677c",5.00440255515569,8.19163690468065,42.5645830071768,4.43392570194658e-12,8.76089365526299e-10,18.5315939167861,"Rv0677c",52
"Rv1813c",7.53501225028916,9.25092454680595,42.4948788741277,4.50249920194889e-12,8.76089365526299e-10,18.5087098804153,"Rv1813c",52
"Rv3094c",-5.00193459029372,7.25833817292236,-42.4848761232583,4.51243556799536e-12,8.76089365526299e-10,18.4540085079208,"Rv3094c",52
"Rv0676c",4.28176116854255,9.52116423876751,41.4467865391657,5.68854169215096e-12,1.05183844717248e-09,18.2737869991191,"Rv0676c",52
"Rv3132c",2.9200990255695,7.95822591664251,39.6128389887542,8.68885042443426e-12,1.53358209991265e-09,17.8455812792411,"Rv3132c",52
"Rv1219c",4.41085448322915,6.21897351427206,39.1393612224904,9.72356023012972e-12,1.58487019768219e-09,17.7220464012849,"Rv1219c",52
"Rv3127",5.13856444162319,9.95836110986062,39.1084317073187,9.79574677939029e-12,1.58487019768219e-09,17.7260083306524,"Rv3127",52
"Rv3825c",2.34865847120409,11.3226703640991,38.489307882146,1.13729125945494e-11,1.75348274292946e-09,17.5711065264971,"Rv3825c",52
"Rv3133c",4.17042348798413,7.91225906855019,38.3584453379329,1.17410639495663e-11,1.75348274292946e-09,17.5493528282307,"Rv3133c",52
"Rv3131",5.47924584424523,10.7304009522725,38.1461793255608,1.23665711330599e-11,1.77849613739525e-09,17.4950753779697,"Rv3131",52
"Rv0678",5.5557611058353,7.42983857753086,37.8407023754309,1.33323994902178e-11,1.84891811501841e-09,17.4316730599533,"Rv0678",52
"Rv0967",3.05565912190699,6.12987759746569,37.4671581991048,1.46285202997104e-11,1.95870842495777e-09,17.338621638742,"Rv0967",52
"Rv1812c",3.10313271511955,7.0881705549598,37.1617223383018,1.57921779158775e-11,2.04403422824508e-09,17.2513678411896,"Rv1812c",52
"Rv1216c",3.75947359733129,6.69247024610894,36.922859559021,1.67736222416481e-11,2.10103145691353e-09,17.2022165957344,"Rv1216c",52
"Rv2006",2.24814347377496,6.91098962203453,36.5583916341587,1.84036937436055e-11,2.23317321270063e-09,17.0928216017065,"Rv2006",52
"Rv2557",3.34081034049305,8.67071215298889,36.4246000342364,1.9045402254791e-11,2.24100899864707e-09,17.0305510827141,"Rv2557",52
"Rv2007c",4.87965204829239,8.99516267651811,36.2688739802496,1.9823656713956e-11,2.26397820647915e-09,17.0029619326633,"Rv2007c",52
"Rv3616c",3.44395640391216,10.836817042646,35.9099946288786,2.1754577499901e-11,2.41351498377473e-09,16.9011869214273,"Rv3616c",52
"Rv2160c",3.28302276129734,8.74606618978094,35.4371001172598,2.46237502829645e-11,2.65594506524308e-09,16.7621373666933,"Rv2160c",52
"Rv2159c",2.97987594650857,8.69955874199387,35.2619937561674,2.57903238495441e-11,2.7065899326427e-09,16.7117609170683,"Rv2159c",52
"Rv0251c",3.2145180989189,6.11216922182747,33.8056839965115,3.82438700015859e-11,3.85086054551267e-09,16.3778641946338,"Rv0251c",52
"Rv1217c",3.80315357279301,7.77728211106467,33.6852040639221,3.95403999594375e-11,3.85086054551267e-09,16.3001824609656,"Rv1217c",52
"Rv1218c",4.46884556848311,6.67047058736915,33.6734997711395,3.96689214062598e-11,3.85086054551267e-09,16.3398533601567,"Rv1218c",52
"Rv1733c",6.94970904166846,7.68554387407953,33.479688178153,4.18656646259283e-11,3.96498477420681e-09,16.2891578123183,"Rv1733c",52
"Rv3134c",4.81844554030982,9.61736501360776,33.3515375242421,4.33919126343647e-11,4.01168563712472e-09,16.1834246529135,"Rv3134c",52
"Rv2558",2.85365466411401,8.11607130480055,33.2518756576218,4.46214081038465e-11,4.02941692249386e-09,16.1485147468817,"Rv2558",52
"Rv2004c",2.82920438201391,6.6681141413249,32.9806675541199,4.81666909688501e-11,4.25071047800103e-09,16.1192794806849,"Rv2004c",52
"Rv3570c",2.42828600953966,8.41214295822439,32.5768805149322,5.40359855834885e-11,4.61244203739087e-09,15.9359745294025,"Rv3570c",52
"Rv1639c",2.00993015770837,9.2211144584849,32.5380174009619,5.46413427040897e-11,4.61244203739087e-09,15.9139133145474,"Rv1639c",52
"Rv0574c",3.17104193728789,5.7936141336386,32.312146328705,5.83115192805179e-11,4.81752402906917e-09,15.9578682296257,"Rv0574c",52
"Rv3159c",2.88839573927282,6.19229204343671,32.2337233037256,5.96488881499002e-11,4.82534651429297e-09,15.919933997032,"Rv3159c",52
"Rv2641",3.00777706571545,6.02024423361147,31.9222718547242,6.53050855916829e-11,5.17509484392867e-09,15.834354975112,"Rv2641",52
"Rv0118c",2.87773763717932,6.68717599088664,31.7466775350732,6.87536881827049e-11,5.33941142426886e-09,15.7485329103794,"Rv0118c",52
"Rv2115c",2.0679778560279,10.3306117552603,31.3598812733982,7.70828467570167e-11,5.86887635210776e-09,15.5608141266479,"Rv2115c",52
"Rv0867c",-2.70565130168795,6.73413102759885,-31.2833550606135,7.88595765406008e-11,5.88868722513756e-09,15.6319972325848,"Rv0867c",52
"Rv2032",6.35466753473225,8.08466385313083,31.1448392905626,8.2191809127323e-11,6.01563606638506e-09,15.5822513867131,"Rv2032",52
"Rv0047c",2.27369598977594,7.68460037818855,31.0858427033935,8.36580859090376e-11,6.01563606638506e-09,15.4940396035117,"Rv0047c",52
"Rv1181",2.00007545374099,9.43558517355959,30.8789289528972,8.90337784888741e-11,6.28578476131451e-09,15.3992697415064,"Rv1181",52
"Rv1996",5.49573447747871,9.6297395575861,30.4668217410378,1.00915550779112e-10,6.99741220848732e-09,15.3121280360839,"Rv1996",52
"Rv0847",4.64051818872455,7.44257715242003,30.316650068916,1.0567260410865e-10,7.17826033613269e-09,15.3022031320015,"Rv0847",52
"Rv3531c",2.69025987607385,6.50046837546408,30.2693767203216,1.07220988796213e-10,7.17826033613269e-09,15.2963928813281,"Rv3531c",52
"Rv1709",-2.82645093536561,5.28161962233422,-30.1282466756003,1.11994723115539e-10,7.37077135351929e-09,15.3005684485572,"Rv1709",52
"Rv3545c",3.19611395746364,7.77773512387201,29.9386118033765,1.18783062603647e-10,7.66336302036139e-09,15.1352403589663,"Rv3545c",52
"Rv1394c",2.40815447174563,5.77983844226153,29.8502282607806,1.22101279508142e-10,7.66336302036139e-09,15.1998901581118,"Rv1394c",52
"Rv3526",2.72486669710654,8.02136605548006,29.8012142788933,1.23985501181019e-10,7.66336302036139e-09,15.0743881935851,"Rv3526",52
"Rv0080",3.51351287087716,7.36401514292334,29.7442724125243,1.26214951913042e-10,7.66336302036139e-09,15.1003030297732,"Rv0080",52
"Rv3252c",-4.27942381946283,8.03977991432685,-29.7419118517027,1.26308326887234e-10,7.66336302036139e-09,15.1183173301323,"Rv3252c",52
"Rv1461",1.93838850286953,9.42563844521456,29.627320145313,1.30934287622781e-10,7.82181290521933e-09,14.9905329795798,"Rv1461",52
"Rv0848",3.81065077729133,6.38555064770687,29.2809459836091,1.4609477231595e-10,8.59524243792173e-09,15.0031269561192,"Rv0848",52
"Rv0571c",3.04093637615861,6.66923470071739,29.0923590380068,1.55157688427197e-10,8.99219856959413e-09,14.9114932941465,"Rv0571c",52
"Rv2030c",6.64399001071981,9.69373181052585,28.6646154183642,1.78106731141321e-10,1.00448724740222e-08,14.7427555401887,"Rv2030c",52
"Rv1738",6.03635199660107,10.494036216943,28.6579119702019,1.78495029798489e-10,1.00448724740222e-08,14.7289002645348,"Rv1738",52
"Rv1393c",2.30184594661993,5.6790015591177,28.519003327894,1.86755658861756e-10,1.035960319086e-08,14.7676269892452,"Rv1393c",52
"Rv0223c",2.9924163185837,6.54750761931616,28.4481235407224,1.91132855990329e-10,1.04185990200942e-08,14.6943713510354,"Rv0223c",52
"Rv3734c",1.7797264634608,7.54224471264256,28.41550120294,1.93185456978311e-10,1.04185990200942e-08,14.608649473182,"Rv3734c",52
"Rv1638A",2.82088123139161,6.4723623372052,28.2604831875228,2.03277991168169e-10,1.0812718352137e-08,14.6382122073491,"Rv1638A",52
"Rv3569c",1.88971408061108,6.58541849387846,28.1360831926177,2.1179912483686e-10,1.11137297532639e-08,14.567119567562,"Rv3569c",52
"Rv1182",3.19249476665133,8.52439665095049,27.9954046827997,2.2191406574712e-10,1.14198392165448e-08,14.4498132135129,"Rv1182",52
"Rv2963",3.28024065373839,7.49250318489083,27.9737930063645,2.2351475159861e-10,1.14198392165448e-08,14.4803153394759,"Rv2963",52
"Rv1180",2.01432081899011,7.81440186284008,27.7765054078117,2.38731578951198e-10,1.1888717075173e-08,14.3741358170022,"Rv1180",52
"Rv2628",7.72686519944873,7.11198034019914,27.7754583719957,2.38815331409604e-10,1.1888717075173e-08,14.5515108092683,"Rv2628",52
"Rv2626c",6.56901526305108,7.7929821352665,27.7082984279585,2.44255910888584e-10,1.19536937333737e-08,14.4774635095987,"Rv2626c",52
"Rv0450c",1.49127083972364,8.03770016566221,27.6837637382035,2.46277491287638e-10,1.19536937333737e-08,14.3278055942075,"Rv0450c",52
"Rv3241c",1.86864924699791,7.68620708862575,27.3079645482336,2.79669619829882e-10,1.34068781950547e-08,14.2086399451969,"Rv3241c",52
"Rv0846c",3.89760536704073,5.66770372466747,27.2273466290963,2.87467102676991e-10,1.36126190206678e-08,14.3484079159743,"Rv0846c",52
"Rv3247c",-2.60598669002733,5.76587537490716,-27.169154994709,2.93244746390374e-10,1.37189078341424e-08,14.3289428435522,"Rv3247c",52
"Rv3537",2.39524048593873,7.03605478710261,26.9994952708245,3.10835175239262e-10,1.41126898765081e-08,14.1391814608433,"Rv3537",52
"Rv3354",2.83520336846182,4.50293616472811,26.9855543492462,3.12331617761952e-10,1.41126898765081e-08,14.281424974378,"Rv3354",52
"Rv2625c",5.93196889895083,6.19223817345851,26.9833833755987,3.1256536939987e-10,1.41126898765081e-08,14.2815747150715,"Rv2625c",52
"Rv2623",7.11254069119129,9.10994044820662,26.9091502955493,3.20675646011109e-10,1.41951778750606e-08,14.1478586352634,"Rv2623",52
"Rv2933",-2.72375019958945,6.80111112657547,-26.8874544709598,3.23089717071636e-10,1.41951778750606e-08,14.1659917151266,"Rv2933",52
"Rv0575c",-3.48042390377578,5.29106612416959,-26.8672184175487,3.25359472284418e-10,1.41951778750606e-08,14.2409797008069,"Rv0575c",52
"Rv2590",1.90605289297827,11.0221968180672,26.8026892971717,3.32715811086617e-10,1.43548388272148e-08,14.0227420682986,"Rv2590",52
"Rv3574",2.45473917082832,7.15858223768614,26.5329464254534,3.65520308980534e-10,1.54795269123852e-08,13.9608872094018,"Rv3574",52
"Rv3086",2.29265697012462,7.23030012212701,26.4892314003803,3.71165789118524e-10,1.54795269123852e-08,13.9409779987833,"Rv3086",52
"Rv3288c",2.23787108571807,6.14824318136738,26.4767193839935,3.72799310953931e-10,1.54795269123852e-08,14.010270008741,"Rv3288c",52
"Rv2031c",6.44383625802809,10.7264636827242,26.4620111622116,3.7472972695447e-10,1.54795269123852e-08,13.9575716869511,"Rv2031c",52
"Rv1387",-2.02899047576292,9.17984178926598,-26.2184386964713,4.08358475796958e-10,1.66911153844167e-08,13.788697882743,"Rv1387",52
"Rv3130c",5.91494872225477,11.8271530783581,26.1612274095204,4.16732430872559e-10,1.68559586362307e-08,13.8641738865483,"Rv3130c",52
"Rv2009",-2.47769489322791,5.71928481953072,-26.0925912543829,4.27029947279097e-10,1.70944050029354e-08,13.9390845987845,"Rv2009",52
"Rv3613c",2.46916358257814,6.40863547970205,26.045124344782,4.3431581001963e-10,1.71121738846622e-08,13.835665077593,"Rv3613c",52
"Rv2584c",1.88135314372302,8.23788732533798,26.0153942339881,4.38949091888805e-10,1.71121738846622e-08,13.7117061564037,"Rv2584c",52
"Rv0969",2.17275747516071,8.44122317669161,26.0042833268202,4.40694666099979e-10,1.71121738846622e-08,13.7040976148766,"Rv0969",52
"Rv2161c",1.88909481930585,10.4307535892187,25.6185890621335,5.06314100409418e-10,1.94655213058393e-08,13.5597882193025,"Rv2161c",52
"Rv0190",1.9717280732772,7.75098561068356,25.4713756616362,5.34148806751419e-10,2.03343119276055e-08,13.5158561964205,"Rv0190",52
"Rv3530c",2.74746490167104,4.74654320925204,25.4298205706168,5.42308878688324e-10,2.04445182130754e-08,13.7265281648544,"Rv3530c",52
"Rv0968",2.13746500190458,6.62333512275044,25.2292270454216,5.83685728288106e-10,2.179280464368e-08,13.4950086444054,"Rv0968",52
"Rv3197",1.5604262323413,9.51425371194421,25.201836005607,5.89601534838301e-10,2.18040262835916e-08,13.3837189132888,"Rv3197",52
"Rv0157",-1.67466659243936,7.94329099977908,-24.844408774103,6.73187244325817e-10,2.44346244803494e-08,13.2824676835212,"Rv0157",52
"Rv0079",2.88583192070961,10.4631478843618,24.8438775148792,6.73320839401851e-10,2.44346244803494e-08,13.2620706108459,"Rv0079",52
"Rv3633",1.90726418651527,7.86113620515537,24.8118683828796,6.81424442122587e-10,2.44997324885371e-08,13.2535379860039,"Rv3633",52
"Rv2406c",1.95530213982962,7.58444853624053,24.6465942328392,7.25017999924053e-10,2.58279348046339e-08,13.2006518784442,"Rv2406c",52
"Rv0451c",2.00061957495168,6.06523541579395,24.5120826766274,7.62776113044915e-10,2.69259967904855e-08,13.2590233296104,"Rv0451c",52
"Rvns01",2.71411712142968,17.015721408992,24.1950334704063,8.60665761386445e-10,3.01077941573294e-08,13.2355627891031,"Rvns01",52
"Rv3824c",2.26499755728247,7.44918390180294,24.1007318867037,8.9240108862458e-10,3.07473928220831e-08,12.9923311766726,"Rv3824c",52
"Rv3527",2.45681641142979,5.05021836766051,24.0937943005627,8.94786347899921e-10,3.07473928220831e-08,13.1927892035737,"Rv3527",52
"Rv3504",2.48158766112754,5.82207034434958,23.8812231274693,9.7139884835151e-10,3.30872081416571e-08,13.0350833661528,"Rv3504",52
"Rv1612",-1.78507945519493,7.63759470006867,-23.7213192676753,1.03380771519844e-09,3.49067422444828e-08,12.8394660204456,"Rv1612",52
"Rv1990c",2.82213992336778,6.41989242965211,23.4752403002869,1.13868307982422e-09,3.73654796887506e-08,12.8280220633521,"Rv1990c",52
"Rv3618",2.59335836251697,4.69239375874559,23.4701862335968,1.14095675635264e-09,3.73654796887506e-08,12.9711199015363,"Rv3618",52
"Rv0120c",1.6473437139882,7.40263168529,23.4623036155339,1.1445129323691e-09,3.73654796887506e-08,12.7165294400466,"Rv0120c",52
"Rv3270",2.14515470383036,10.4021814099193,23.4544768499864,1.14805602882452e-09,3.73654796887506e-08,12.6829983000866,"Rv3270",52
"Rv1772",2.37315777464769,6.9494238213277,23.4379771100598,1.15556505369622e-09,3.73654796887506e-08,12.7422133252957,"Rv1772",52
"Rv0233",1.57191492503285,7.96334870361428,23.4187943699616,1.16436338973444e-09,3.73654796887506e-08,12.6679684077649,"Rv0233",52
"Rv1405c",-5.52396732154464,5.36532800244827,-23.3245042020901,1.20870012700067e-09,3.84703491241279e-08,12.9171778659615,"Rv1405c",52
"Rv1894c",2.4352807388993,8.26095409959502,23.1728730705031,1.2839627044132e-09,4.05335543189954e-08,12.5669177475063,"Rv1894c",52
"Rv3508",2.38779327057448,8.08562156118379,23.101730401428,1.32104688038808e-09,4.13679438431203e-08,12.5425400922488,"Rv3508",52
"Rv3546",2.71777545359298,7.58613938867655,23.0790434058282,1.33312040821697e-09,4.14120523608519e-08,12.5565081281939,"Rv3546",52
"Rv0572c",3.2366692884606,4.96496736471949,23.0285469898482,1.36043346719738e-09,4.19251043899002e-08,12.7878657517282,"Rv0572c",52
"Rv1466",1.43075986296644,6.99241528339027,22.8723416205459,1.44891391786273e-09,4.37944880300639e-08,12.4877634031122,"Rv1466",52
"Rv3059",1.62506167947668,7.43001268616239,22.8719725874316,1.44913033653826e-09,4.37944880300639e-08,12.4618628525574,"Rv3059",52
"Rv0167",1.68128012844211,8.80162695966642,22.8563994397018,1.45829580272627e-09,4.37944880300639e-08,12.4086498349029,"Rv0167",52
"Rv0542c",-1.98714316166064,6.88833567037652,-22.8430433968608,1.46620742825349e-09,4.37944880300639e-08,12.5248746007137,"Rv0542c",52
"Rv2459",1.36850766102146,6.79836426687433,22.8022241128244,1.49068262081675e-09,4.41856535620722e-08,12.4727349367078,"Rv2459",52
"RVnc0036a",3.39296846335494,15.58912289529,22.6875482424168,1.56189073494127e-09,4.59456191195224e-08,12.5901155469566,"RVnc0036a",52
"Rv1623c",-1.56162314137601,6.75124464093199,-22.6042700845434,1.61595671187934e-09,4.70038124084231e-08,12.4201057653764,"Rv1623c",52
"Rv3390",1.84873570614285,5.82696205249234,22.595042815807,1.62207336150623e-09,4.70038124084231e-08,12.4824654217456,"Rv3390",52
"Rv3249c",-3.23278667159649,8.17903255358279,-22.5722460578132,1.63729499049858e-09,4.70934551711554e-08,12.360654231011,"Rv3249c",52
"Rv0280",-1.54921959001626,7.12721149226968,-22.5226725786427,1.67094323960869e-09,4.7707886760298e-08,12.3536641350275,"Rv0280",52
"Rv3269",2.58916804820297,9.92003066676636,22.4646270932277,1.71131607854962e-09,4.81875937430934e-08,12.2464275520901,"Rv3269",52
"Rv2591",2.13668277592041,8.34915228377045,22.4628563801834,1.71256449563402e-09,4.81875937430934e-08,12.250811348932,"Rv2591",52
"Rv2335",-1.57454812955756,6.77053940225962,-22.427553929144,1.73766513337077e-09,4.85421130422928e-08,12.3399135896869,"Rv2335",52
"Rv3212",-1.30754257873889,8.44393712305992,-22.3735206181934,1.77687432001002e-09,4.92828784614208e-08,12.2135089950173,"Rv3212",52
"Rv2029c",5.29117579369539,5.30058772615399,22.247785475234,1.87195133310815e-09,5.15516810387159e-08,12.4934994818912,"Rv2029c",52
"Rv3568c",1.90591012553529,6.81167016195513,22.2000306224017,1.90952313089451e-09,5.22160444877704e-08,12.2118445086944,"Rv3568c",52
"Rv2460c",1.26078830752895,8.28497257428696,22.1023071896532,1.98903196079209e-09,5.40098678584314e-08,12.077122181172,"Rv2460c",52
"Rv3417c",-1.43889953349098,6.74675853384653,-22.085090016751,2.00341534775848e-09,5.40226513565708e-08,12.188582800658,"Rv3417c",52
"Rv3095",-2.25946963452443,5.64192607566349,-21.9228233591188,2.14476307144796e-09,5.74352759064305e-08,12.2683278944794,"Rv3095",52
"Rv0827c",1.74827899442401,7.28734117258269,21.8862714845359,2.17810103484498e-09,5.76991633791703e-08,12.0346295283683,"Rv0827c",52
"Rv1708",-1.80258691361813,6.33288396484794,-21.8795039556791,2.18433608466084e-09,5.76991633791703e-08,12.1459797904372,"Rv1708",52
"Rv3092c",-2.24550430104572,7.57613649730952,-21.647304423682,2.41068353482519e-09,6.32478659846366e-08,11.9464506679796,"Rv3092c",52
"Rv2592c",-1.63470650807492,6.50253364156482,-21.5727145341152,2.48879782869843e-09,6.48590736163489e-08,11.9839507678562,"Rv2592c",52
"Rv1462",1.44583775130988,7.95545577296257,21.5397455452764,2.52421199200122e-09,6.53434344329384e-08,11.83330758684,"Rv1462",52
"Rv0691A",1.61052410511465,5.8840207703192,21.4372114062948,2.63795601117188e-09,6.78356502740425e-08,11.9538440596177,"Rv0691A",52
"Rv1184c",1.49493064463351,8.39422818906047,21.3608303928347,2.72636663515546e-09,6.96479055546621e-08,11.7364484309729,"Rv1184c",52
"Rv0188",1.57265763682215,7.96142044610801,21.3059903007989,2.79186119379017e-09,7.0854882454165e-08,11.7262829585942,"Rv0188",52
"Rv3572",2.01297695889929,5.69661479535514,21.2766130172941,2.82765921406325e-09,7.12974073260235e-08,11.9068641520103,"Rv3572",52
"Rv2430c",-1.40877463513889,7.17445294856268,-21.2133717392026,2.90645525620504e-09,7.28113919989946e-08,11.7518104390189,"Rv2430c",52
"Rv0914c",1.2548331512536,7.55054649604681,20.9995021625269,3.1914358258609e-09,7.94381109731914e-08,11.5987322915135,"Rv0914c",52
"Rv1481",-1.38001740321669,7.56449274027355,-20.9723190166145,3.22981598963062e-09,7.95987851497262e-08,11.610284719962,"Rv1481",52
"Rv3515c",2.85431259081159,5.64112777572723,20.9659447071508,3.23888953223197e-09,7.95987851497262e-08,11.7914220667055,"Rv3515c",52
"Rv3841",1.98827791269857,13.6419091861459,20.8718849116601,3.37610400162267e-09,8.24491310584957e-08,11.6753204924532,"Rv3841",52
"Rv1463",1.63161591887245,6.99691672146407,20.8461228898029,3.41479664869373e-09,8.2872846167986e-08,11.5701913318485,"Rv1463",52
"Rv0913c",1.51470322545042,6.85887829414388,20.8259972678906,3.44536458137446e-09,8.30953457731493e-08,11.5702261227151,"Rv0913c",52
"Rv2246",-1.89563323762109,9.2017106826552,-20.7761589584986,3.52237052017444e-09,8.4428177344675e-08,11.4686517429621,"Rv2246",52
"Rv2934",-1.91887742037631,7.19102962381373,-20.7047171322684,3.63609174461993e-09,8.66192898426945e-08,11.5261243801093,"Rv2934",52
"Rv3251c",-4.42820236477155,4.98538421252325,-20.6465027355956,3.73175800704903e-09,8.8356197203484e-08,11.8112727023569,"Rv3251c",52
"Rv3823c",1.76527511200981,8.69504621028227,20.5885978321315,3.8296801087691e-09,9.01251385596994e-08,11.3680964709525,"Rv3823c",52
"Rv2334",-1.53861203592292,7.75728127932867,-20.4357496485961,4.10206444774207e-09,9.59537123529064e-08,11.3419992286614,"Rv2334",52
"Rv2552c",-1.34253299522032,6.68503066978985,-20.4153112892717,4.14008077388007e-09,9.62630757184211e-08,11.4113902353635,"Rv2552c",52
"Rv2957",-1.93239811942823,5.05775146770975,-20.0503654417074,4.88878494148556e-09,1.12954954163922e-07,11.4459306469482,"Rv2957",52
"Rv1161",1.34012288745947,10.6271951565792,20.038222505895,4.9161440261918e-09,1.12954954163922e-07,11.1136098306178,"Rv1161",52
"Rv2740",2.1228993668592,6.20092346245973,19.9654319724216,5.08373340153855e-09,1.16118451753966e-07,11.2283162366482,"Rv2740",52
"Rv0270",1.26883582866265,9.82363087916546,19.9459755503942,5.12959032135371e-09,1.16480697180213e-07,11.0535282062352,"Rv0270",52
"Rv1109c",1.39912712708031,8.67026207433009,19.8277197860391,5.41832369888191e-09,1.21602047542206e-07,10.9885287124994,"Rv1109c",52
"Rv1297",-1.42407242113557,10.3813569382303,-19.8277169164088,5.41833091950917e-09,1.21602047542206e-07,11.0085774379279,"Rv1297",52
"Rv0512",-1.2489043937497,8.02500565701203,-19.8155368915163,5.44907449712692e-09,1.21602047542206e-07,11.0161366573244,"Rv0512",52
"Rv3037c",-1.48404611298784,5.76562117891726,-19.7902023591108,5.51364009411937e-09,1.22339797059803e-07,11.2180613871172,"Rv3037c",52
"Rv3087",2.23700060457478,6.5563836072405,19.7599016610383,5.59197360748914e-09,1.23372917715229e-07,11.0949425182137,"Rv3087",52
"Rv2276",-2.02665033652285,5.46856801336805,-19.7413322998089,5.64058594459589e-09,1.23742345891898e-07,11.2551451448523,"Rv2276",52
"Rv0528",-1.84344059397894,7.46954183238474,-19.675262655501,5.81736872415873e-09,1.26568367515549e-07,10.9905833880653,"Rv0528",52
"Rv0347",1.72400813914704,4.91951126070676,19.6689429223228,5.83459639075026e-09,1.26568367515549e-07,11.2298473822636,"Rv0347",52
"Rv1460",1.60596892639943,6.62463294184222,19.6443761507251,5.90210271825995e-09,1.27321471416685e-07,11.0160765537249,"Rv1460",52
"Rv2302",1.7563061443413,6.71308045951263,19.6216410093051,5.96534481519227e-09,1.27974773024263e-07,10.9999731487995,"Rv2302",52
"Rv0440",-1.60420463573297,7.42744483933638,-19.6085811978969,6.00201119174488e-09,1.28053898118381e-07,10.9564119386856,"Rv0440",52
"Rv1386",-1.66370784189362,6.33325685209164,-19.5695087545506,6.11320387626147e-09,1.29713500827996e-07,11.0471570653666,"Rv1386",52
"Rv1880c",1.41036069523058,8.22308696104217,19.5387321516484,6.202389782809e-09,1.30580393643374e-07,10.8496967181217,"Rv1880c",52
"Rv0452",2.32974392562624,4.54127903551706,19.5322636141256,6.22131672006803e-09,1.30580393643374e-07,11.2283185784676,"Rv0452",52
"Rv0081",2.11586782964147,4.22707717916599,19.4969091319868,6.32589703334837e-09,1.32061603120923e-07,11.2292876338237,"Rv0081",52
"Rv2366c",-1.41810827307081,6.8766507504879,-19.4494153296834,6.46945306356387e-09,1.34336290084591e-07,10.9127951595855,"Rv2366c",52
"Rv0849",4.03330562902164,5.42524775809143,19.2003150822335,7.28378009942721e-09,1.50441053862106e-07,11.004006894292,"Rv0849",52
"Rv1631",-1.35700980514081,7.82344845162597,-19.1613824183179,7.42098981001917e-09,1.52464039324362e-07,10.6948170989062,"Rv1631",52
"Rv0173",1.24990916816875,7.56956412755652,19.1355222990381,7.51370417626424e-09,1.53556385875969e-07,10.6702967781894,"Rv0173",52
"Rv1488",1.2766763823422,8.2681403758808,19.1159135089247,7.58485850331451e-09,1.54198982033352e-07,10.6297835435029,"Rv1488",52
"Rv3534c",1.48565487618381,5.6453471754773,18.9931424929341,8.04762470283317e-09,1.62754826672402e-07,10.7847470347228,"Rv3534c",52
"Rv0045c",1.38565070898221,6.56022816762789,18.9708929397535,8.13478184367884e-09,1.63665066834222e-07,10.6675856607228,"Rv0045c",52
"Rv0872c",1.60415500306876,8.92751736774914,18.9592510605407,8.18080084058141e-09,1.63742524041122e-07,10.5414874386266,"Rv0872c",52
"Rv0283",-1.01749275756237,9.03159065689094,-18.9477206255636,8.22666270412774e-09,1.6381605784681e-07,10.5392888830984,"Rv0283",52
