"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv1576c",0.813466749678662,7.08951837544623,7.59958119811797,2.59919357383293e-05,7.89723681314027e-05,1.82675139554692,"Rv1576c",52
"Rv2985",1.82642428008654,5.96827536759247,7.5966530561962,2.60742345880863e-05,7.91604792068329e-05,1.95326528185614,"Rv2985",52
"Rv3254",0.593069195915481,6.52412092478449,7.5918263805174,2.62105151947581e-05,7.95120550790982e-05,1.89248541901851,"Rv3254",52
"Rv0994",0.445193855316026,8.83748455160092,7.58757419893044,2.63312190526879e-05,7.98158654032687e-05,1.73084446682135,"Rv0994",52
"Rv2513",-0.829023570224443,5.00396478781703,-7.57608170864052,2.66604938544637e-05,8.07509341941361e-05,2.16473453643407,"Rv2513",52
"Rv3901c",-1.05063922770079,3.5347932085349,-7.56232351804595,2.70606041526578e-05,8.18989290138506e-05,2.48510254247689,"Rv3901c",52
"Rv3359",1.90211920389391,4.08389434143018,7.55184906648064,2.73696097628903e-05,8.27696220477438e-05,2.28170983788739,"Rv3359",52
"Rv0351",-0.625369171963849,6.38435236914932,-7.52089053373618,2.83056365432498e-05,8.55336861458669e-05,1.83828844883048,"Rv0351",52
"Rv1022",-0.71548931248912,5.42800519890558,-7.50467072530015,2.880993354284e-05,8.69898693210325e-05,1.99635795536347,"Rv1022",52
"Rv0334",0.722079004092499,5.20004064238172,7.50244251074115,2.88799741112312e-05,8.71335971048258e-05,2.00200747220754,"Rv0334",52
"Rv2474c",-0.816807140216965,4.89296487279568,-7.49983904477437,2.89620454930462e-05,8.73133716222812e-05,2.0775329823,"Rv2474c",52
"Rv0631c",-0.805410145240546,4.88288559638018,-7.49358886011139,2.91601159024476e-05,8.78423041498868e-05,2.08558126859355,"Rv0631c",52
"Rv3031",-0.564792935474973,6.51399544335448,-7.49057020754924,2.92563066506132e-05,8.80637509490939e-05,1.78078643194097,"Rv3031",52
"Rv3921c",-0.662613366683544,9.00897119941613,-7.48889172455612,2.93099419454815e-05,8.81568586942716e-05,1.6190346890708,"Rv3921c",52
"Rv0918",1.02325089365729,3.40592774831098,7.48416078055127,2.94616954382175e-05,8.85447085035592e-05,2.38174327630432,"Rv0918",52
"Rv3258c",-0.445771360747043,7.28742422145811,-7.47996753017501,2.95969179478045e-05,8.88823143011019e-05,1.68151528999112,"Rv3258c",52
"Rv1407",-0.564071402119707,5.5554377544803,-7.47549193759125,2.97419924762855e-05,8.92489619670918e-05,1.92148442157988,"Rv1407",52
"Rv3256c",-0.597477152373818,6.77978333281499,-7.47263966512841,2.98348522265299e-05,8.9458479687734e-05,1.73102308612235,"Rv3256c",52
"Rv3463",-1.2893240015117,3.39597028500438,-7.47017934604816,2.99152053968374e-05,8.96302025894441e-05,2.44035100789195,"Rv3463",52
"Rv1915",0.501518400814559,7.97301987341431,7.46916354977399,2.99484497602249e-05,8.9660624841136e-05,1.60964853160836,"Rv1915",52
"Rv0343",-0.558342802869724,5.60008985327743,-7.46100187139711,3.02170271577837e-05,9.0395004972014e-05,1.89088415439986,"Rv0343",52
"Rv2530c",-0.95226776363969,4.77071163437074,-7.44858288500546,3.06307526487403e-05,9.1562134361092e-05,2.06295914887737,"Rv2530c",52
"Rv2201",-0.689541092646937,4.91285157411992,-7.44776819791284,3.06581081765226e-05,9.15734108072595e-05,2.0127992479024,"Rv2201",52
"Rv1555",1.84859767996185,1.53587710942061,7.44511805437723,3.07472790181813e-05,9.17691655861628e-05,2.71520106500385,"Rv1555",52
"Rv0003",-0.769409718799141,5.95885583781646,-7.44007063942423,3.09178954413164e-05,9.22075176640795e-05,1.816321037246,"Rv0003",52
"Rv0381c",-0.626625359341118,5.54652644618185,-7.4272530363187,3.1355822794378e-05,9.34417957870834e-05,1.86487595339593,"Rv0381c",52
"Rv0301",-0.662332513392221,5.95707852842535,-7.42264181359186,3.1515020729393e-05,9.38441913283996e-05,1.79379605046809,"Rv0301",52
"Rv1326c",-0.57688598145222,6.89781505555187,-7.41959112788475,3.16208269321272e-05,9.40871041972797e-05,1.65460089208972,"Rv1326c",52
"Rv0199",-0.584468476263129,5.47240916786453,-7.40955010593519,3.19718217052698e-05,9.5058639878685e-05,1.85446710559909,"Rv0199",52
"Rv0472c",-0.508062753903386,7.07727394658751,-7.40374250851157,3.21767698840137e-05,9.55947953019321e-05,1.61641259646841,"Rv0472c",52
"Rvnt08",-0.749921289165272,7.22493949258062,-7.40219822236144,3.22315079967373e-05,9.56842091371032e-05,1.60674213262593,"Rvnt08",52
"Rv2022c",1.44792650197266,4.32183115677338,7.39821637347327,3.23731158526565e-05,9.60311755965357e-05,2.0735401621743,"Rv2022c",52
"Rv1561",-1.14759558818255,3.93509001324013,-7.39693210424435,3.24189333108047e-05,9.60936778975989e-05,2.21810345331598,"Rv1561",52
"Rv1063c",0.648292502061429,7.39593954782038,7.3955848347953,3.24670743526975e-05,9.61629669805677e-05,1.55840973636571,"Rv1063c",52
"Rv1800",-0.648062384822456,5.62155565315139,-7.38847107007929,3.27225611551291e-05,9.68331786128722e-05,1.81055270026753,"Rv1800",52
"Rv0729",-1.15694163927355,3.86248839710962,-7.38789820679146,3.27432303679375e-05,9.68331786128722e-05,2.20355528082177,"Rv0729",52
